Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Tower of now,Bradford - City Centre,monthly,21/11/2025,1237264.85,44188.03,967055.2207,34537.68617,270209.6293,9650.343825,YES
,Bradford - City Centre,monthly,22/11/2025,1370268.17,44202.2,1071011.585,34548.76155,299256.5854,9653.43845,
,Bradford - City Centre,monthly,23/11/2025,1363833.42,45461.11,1065982.137,35532.73478,297851.2829,9928.375222,
,Bradford - City Centre,monthly,24/11/2025,1547499.19,49919.33,1209536.641,39017.31201,337962.549,10902.01799,
,Bradford - City Centre,monthly,24/11/2025,1561619.27,52053.98,1220572.998,40685.77,341046.2716,11368.21,
,Bradford - City Centre,monthly,25/11/2025,1736774.34,56024.98,1357475.477,43789.53253,379298.8628,12235.44747,
,Bradford - City Centre,monthly,26/11/2025,1728173.37,55747.53,1350752.896,43572.67559,377420.4736,12174.85441,
,Bradford - City Centre,monthly,27/11/2025,1730083.65,57669.46,1352245.985,45074.87008,377837.6648,12594.58992,
,Bradford - City Centre,monthly,28/11/2025,1873107.35,60422.82,1464034.351,47226.91632,409072.9989,13195.90368,
,Bradford - City Centre,monthly,29/11/2025,1805254.21,60175.14,1410999.843,47033.32782,394254.3675,13141.81218,
,Bradford - City Centre,monthly,30/11/2025,1868458.66,60272.86,1460400.901,47109.70649,408057.7589,13163.15351,
,Bradford - City Centre,monthly,01/12/2025,1839656.57,59343.76,1437888.978,46383.51516,401767.5923,12960.24484,
,Bradford - City Centre,monthly,01/12/2025,2085356.22,74477.01,1629929.614,58211.77361,455426.6058,16265.23639,
,Bradford - City Centre,monthly,01/12/2025,2184825.55,70478.24,1707675.567,55086.30584,477149.9828,15391.93416,
,Bradford - City Centre,monthly,02/12/2025,2116111.92,70537.06,1653968.493,55132.27999,462143.4266,15404.78001,
,Bradford - City Centre,monthly,03/12/2025,2270857.44,73253.47,1774918.719,57255.44583,495938.7208,15998.02417,
